DATE,BITCOIN,ETHEREUM,BINANCE-COIN,SOLANA
2020-06-22,9298.36082912,227.79190591,15.94815181,0.67274779
2020-06-23,9678.68320898,243.36470999,16.49346287,0.72717296
2020-06-24,9624.68429183,243.07948224,16.37632339,0.70673363
2020-06-25,9288.06177449,234.56498464,15.99426702,0.73624526
2020-06-26,9258.66716101,232.6487035,15.91379578,0.71268941
2020-06-27,9166.48636042,229.63652603,15.76071352,0.74072087
2020-06-28,9013.90556468,221.0260853,15.14304716,0.71335537
2020-06-29,9139.9032763,225.12294617,15.36603853,0.79876047
2020-06-30,9185.16654065,228.20576377,15.47591936,0.85312688
2020-07-01,9149.72199676,225.59281497,15.42963681,0.85929555
2020-07-02,9230.67299859,230.66194359,15.82008123,0.83245924
2020-07-03,9094.31807217,226.57442434,15.35136699,0.77461148
2020-07-04,9071.38504278,225.17640548,15.29261376,0.76747047
2020-07-05,9132.90836953,229.09471646,15.55406578,0.78118711
2020-07-06,9087.40731258,227.89937504,15.49204978,0.69218766
2020-07-07,9342.37649263,241.52685187,16.31375648,0.7084093
2020-07-08,9253.63098024,238.96448054,16.77301865,0.75347726
2020-07-09,9432.17251583,246.85900787,17.1887804,0.79561417
2020-07-10,9235.71630206,241.97512858,16.81968124,0.85047834
2020-07-11,9282.91363884,240.95495378,17.21687834,0.91363737
2020-07-12,9234.31467471,239.10202555,17.61455839,0.92153419
2020-07-13,9297.47963587,241.7715226,18.28222142,1.01752694
2020-07-14,9240.76251972,239.63878681,18.38502673,1.17875329
2020-07-15,9247.06069596,240.25147067,18.09003726,1.14835619
2020-07-16,9203.37143518,238.66359721,17.60299697,1.29354751
2020-07-17,9136.48337636,233.83707456,17.15199504,0.86891847
2020-07-18,9156.27658312,232.78147744,17.0799106,0.98182415
2020-07-19,9168.40273656,235.68114478,17.13579467,0.96731827
2020-07-20,9202.6158395,238.89523168,17.96487858,0.92243834
2020-07-21,9163.15965458,236.06009845,17.48010559,0.87305898
2020-07-22,9384.3797519,245.23373503,17.73993556,0.97639203
2020-07-23,9514.30498763,263.76246397,18.06467879,1.04472467
2020-07-24,9589.81771944,274.72362026,18.67907136,1.05580629
2020-07-25,9535.93879574,279.42705625,19.17406863,0.99620446
2020-07-26,9691.82513892,305.03813941,19.80752853,1.25086643
2020-07-27,9925.75139748,310.51799095,19.52096308,1.59702605
2020-07-28,10962.25848121,320.47619131,19.68213941,1.77695581
2020-07-29,10904.91652692,316.40676605,20.15961438,1.78396314
2020-07-30,11093.61224044,317.53907292,19.87226129,1.65719193
2020-07-31,11116.30716369,334.74192204,20.03146087,1.68841873
2020-08-01,11325.55152727,346.00350607,20.69395572,1.53809703
2020-08-02,11812.09430727,387.94242117,21.60204582,1.5331374
2020-08-03,11066.30624059,370.73230243,20.90793498,1.74601567
2020-08-04,11230.90776275,386.24744772,21.95591965,1.80036368
2020-08-05,11181.91750803,389.38300835,22.26285168,1.89730725
2020-08-06,11719.26352395,400.1843625,23.25810312,1.76118332
2020-08-07,11768.12774224,394.54174546,22.72711584,2.20192249
2020-08-08,11571.48798068,379.13515585,22.19926947,2.07312041
2020-08-09,11739.13100641,391.47843864,22.86889206,2.47340178
2020-08-10,11682.85146915,389.62293111,22.42038767,2.65900283
2020-08-11,11862.9380127,395.20991366,22.57428904,3.13588374
2020-08-12,11398.6710609,379.17476395,21.13387814,3.26486912
2020-08-13,11579.8679516,387.50053082,21.60059011,3.74138793
2020-08-14,11817.1640388,427.49026537,21.7611413,3.73367541
2020-08-15,11777.39132249,438.76258747,23.0244045,3.41749722
2020-08-16,11864.90581016,432.65466524,22.90796258,3.17319544
2020-08-17,11901.7764883,433.43186093,23.47471961,3.38522673
2020-08-18,12272.46580816,430.03250509,23.52633097,3.10308894
2020-08-19,11949.61097063,422.10665287,22.97380165,3.33106208
2020-08-20,11733.27897086,406.57446918,22.30758296,2.89613107
2020-08-21,11861.83657728,416.46977582,23.07262944,3.20650258
2020-08-22,11515.12429873,386.82389142,22.09465246,2.93318941
2020-08-23,11676.38530508,395.88501829,22.17583929,3.0217656
2020-08-24,11647.92812093,390.78913505,21.83761773,3.32993405
2020-08-25,11758.82812037,408.26914563,22.57149422,3.33977704
2020-08-26,11350.75347321,383.66214312,21.45247745,3.26124161
2020-08-27,11465.00256403,385.75249987,22.22593966,3.55106694
2020-08-28,11300.39836381,381.83765132,23.07188472,3.43061612
2020-08-29,11519.11838816,395.13821324,23.06537998,4.01141616
2020-08-30,11481.48182332,399.37454383,22.99170497,3.97228223
2020-08-31,11701.00400866,428.29567916,23.62291043,4.43666353
2020-09-01,11672.32410494,435.6930233,23.16343363,4.79446185
2020-09-02,11895.22534535,475.68466426,24.66651194,4.30435362
2020-09-03,11418.25475692,439.35376022,24.64635904,4.17622447
2020-09-04,10197.45982277,383.69153118,20.51672336,3.51397115
2020-09-05,10484.47039227,387.90402909,20.96727942,3.54071745
2020-09-06,10177.78971805,334.46859301,19.40743244,2.59517171
2020-09-07,10260.01772775,352.99300215,23.23637631,3.08715375
2020-09-08,10359.44521699,351.87786029,22.31487528,2.90643802
2020-09-09,10125.01495607,337.84505194,23.00880342,2.47428063
2020-09-10,10230.15469936,351.23226708,24.48604525,3.63437035
2020-09-11,10342.15939121,367.63892881,24.4138426,3.45309
2020-09-12,10378.22304458,373.91490599,25.38928109,3.44620852
2020-09-13,10439.38467226,387.72351629,28.45320778,3.33266209
2020-09-14,10328.86606599,365.69550631,31.11747197,3.22479831
2020-09-15,10661.09623514,376.39456111,31.2132309,3.26239121
2020-09-16,10787.58020808,364.69004509,27.17624422,2.93169321
2020-09-17,10952.24996911,365.13055081,27.85508077,2.54946541
2020-09-18,10937.99639696,388.79745623,26.79178309,2.9191993
2020-09-19,10927.15031029,383.17286599,27.09515766,3.08407983
2020-09-20,11083.9983612,385.47212349,27.20293463,3.0147289
2020-09-21,10923.32666818,370.96789516,26.4293605,2.86795826
2020-09-22,10439.52248879,341.27713087,23.53325019,2.77366023
2020-09-23,10527.58784674,343.9175471,24.02697589,2.94021551
2020-09-24,10223.78410639,321.07743517,22.81030009,2.83550059
2020-09-25,10726.53008332,348.82101998,24.51830102,3.13012641
2020-09-26,10681.99384811,351.33156702,24.62590534,3.19100605
2020-09-27,10743.19287976,354.26158191,26.17859218,3.13514522
2020-09-28,10765.30052166,357.06643641,26.19438529,3.16599488
2020-09-29,10672.02854426,354.42958354,26.84945838,2.95577515
2020-09-30,10837.51658651,359.42608954,28.78426116,2.94511904
